RowNumber,CustomerId,Surname,Gender,Age,Province,City,AreaType,EducationLevel,EmploymentType,PreferredLanguage,Bank,AccountType,Tenure,CreditScore,CreditRating,CreditBureau,NumOfProducts,ProductName,HasSavingsAccount,HasChequeAccount,HasCreditCard,HasPersonalLoan,HasHomeLoan,HasVehicleFinance,HasInvestmentAccount,HasPremiumBanking,HasCreditCard_Flag,Balance_ZAR,AnnualSalary_ZAR,MonthlySalary_ZAR,SalaryPaymentMethod,FinancialWellnessScore,IsActiveMember,UsesMobileBanking,UsesInternetBanking,MonthlyBranchVisits,MonthlyATMTransactions,CustomerServiceCalls_12M,Complaints_12M,PreferredCommChannel,Churned,Geography_Original
2433,15769064,Marshall,Male,39,Limpopo,Polokwane,Rural,No Matric,Employed,Tshivenda,Capitec,Prestige,3,537,Poor,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,1,2773841.88,650441.63,54203.47,Direct Deposit,4.6,0,1,1,2,10,1,0,SMS,1,Germany
2434,15718153,Kao,Female,74,North West,Brits,Suburban,No Matric,Student,isiZulu,Absa,Savings,6,759,Very Good,TransUnion,1,Savings Account,1,1,0,0,0,1,0,0,1,2642815.72,989015.12,82417.93,Direct Deposit,5.8,1,1,1,2,6,0,2,SMS,0,Spain
2435,15613189,Browne,Female,52,Western Cape,Stellenbosch,Urban,Matric,Employed,Sesotho,Nedbank,Cheque,2,774,Very Good,TransUnion,1,Savings Account,1,1,0,0,1,0,0,0,1,1159909.06,2321958.74,193496.56,Direct Deposit,6.0,0,1,1,2,13,1,0,SMS,1,France
2436,15661734,Taylor,Male,42,Eastern Cape,Mthatha,Suburban,Diploma,Unemployed,Sesotho,FNB,Cheque,8,608,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,2693510.38,1459150.84,121595.9,Direct Deposit,5.5,0,1,1,0,5,1,0,App Notification,0,Germany
2437,15592645,Gibbons,Male,37,North West,Mahikeng,Urban,No Matric,Employed,Setswana,Capitec,Prestige,4,704,Good,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,0.0,526541.07,43878.42,Direct Deposit,3.7,0,1,1,1,2,0,0,WhatsApp,0,Spain
2438,15768387,Nott,Male,41,Gauteng,Centurion,Urban,No Matric,Employed,Sesotho,Capitec,Pensioner,8,581,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,1,0,0,0,0,0.0,609611.37,50800.95,Direct Deposit,3.2,0,1,1,3,8,0,1,App Notification,0,France
2439,15792525,Lei,Female,61,Eastern Cape,Mthatha,Urban,Diploma,Employed,isiZulu,Absa,Savings,1,628,Fair,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,1995914.03,3073408.79,256117.4,Direct Deposit,6.4,1,1,0,4,4,4,2,WhatsApp,1,Germany
2440,15586976,Alexeeva,Female,42,Gauteng,Midrand,Rural,Diploma,Self-Employed,isiZulu,Standard Bank,Cheque,6,566,Poor,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,0.0,3704393.46,308699.46,Cash,5.4,0,1,1,1,6,0,1,SMS,1,France
2441,15790659,Sheets,Male,59,North West,Potchefstroom,Urban,Matric,Self-Employed,Afrikaans,Capitec,Savings,7,701,Good,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,1,0,0,0.0,565750.6,47145.88,Direct Deposit,3.7,1,1,1,1,7,1,1,Email,0,Spain
2442,15691446,Tokaryev,Male,29,North West,Brits,Suburban,Diploma,Employed,isiZulu,Absa,Cheque,10,735,Good,TransUnion,2,Savings + Credit Card,1,1,1,0,1,0,0,0,1,0.0,1948018.04,162334.84,Direct Deposit,4.9,1,1,1,3,11,1,0,Phone Call,0,Spain
2443,15772632,Ts'ui,Female,34,KwaZulu-Natal,Richards Bay,Urban,Postgraduate,Employed,Afrikaans,FNB,Student,1,680,Good,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,0.0,3424218.94,285351.58,Direct Deposit,5.7,0,1,0,2,3,1,1,WhatsApp,0,France
2444,15706587,Johnston,Male,57,Gauteng,Pretoria,Urban,Diploma,Self-Employed,isiZulu,Capitec,Savings,0,560,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,1,0,0,0,0,0.0,2394025.06,199502.09,Cash,4.4,1,0,0,3,9,3,3,WhatsApp,0,France
2445,15572461,Kung,Female,29,Eastern Cape,Grahamstown,Rural,Matric,Pensioner,isiXhosa,Capitec,Cheque,4,663,Fair,TransUnion,2,Savings + Credit Card,1,0,1,0,0,0,0,0,0,2105650.32,434001.61,36166.8,Direct Deposit,4.7,0,0,1,1,10,1,0,WhatsApp,0,Germany
2446,15654409,Unwin,Female,34,Gauteng,Sandton,Urban,Diploma,Self-Employed,isiZulu,Capitec,Savings,5,665,Fair,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,1,1390242.76,607652.39,50637.7,Cheque,4.4,1,1,1,0,6,2,0,SMS,0,France
2447,15568025,Hsueh,Male,51,Gauteng,Centurion,Suburban,Postgraduate,Employed,siSwati,FNB,Savings,8,758,Very Good,TransUnion,1,Savings Account,1,0,0,0,0,0,1,0,1,1675064.43,2388661.44,199055.12,Direct Deposit,6.3,1,1,1,0,8,3,0,WhatsApp,0,France
2448,15715769,Hao,Male,26,KwaZulu-Natal,Durban,Suburban,Diploma,Employed,English,Nedbank,Cheque,2,621,Fair,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,0,1542369.57,906518.2,75543.18,Direct Deposit,4.5,1,0,0,1,7,1,1,WhatsApp,0,France
2449,15667458,L?,Male,28,Limpopo,Musina,Urban,Matric,Self-Employed,Setswana,Nedbank,Savings,10,764,Very Good,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,2542475.19,3406859.74,283904.98,Cash,7.6,0,1,1,1,2,0,0,SMS,0,Germany
2450,15567980,Frater,Female,46,Eastern Cape,East London,Suburban,Diploma,Employed,Afrikaans,FNB,Cheque,5,537,Poor,TransUnion,1,Savings Account,1,1,0,0,0,0,1,0,0,2064913.75,2887584.08,240632.01,Cash,5.8,1,1,1,2,16,6,0,WhatsApp,1,Germany
2451,15679294,Brennan,Female,46,Gauteng,Johannesburg,Urban,Diploma,Employed,Afrikaans,Capitec,Cheque,10,589,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,2198396.43,758997.74,63249.81,Direct Deposit,4.6,0,1,1,2,6,1,0,App Notification,0,France
2452,15606507,Pisani,Male,24,Western Cape,Cape Town,Urban,Matric,Employed,isiZulu,Absa,Prestige,5,555,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,1,0,0,0,1,0.0,564026.14,47002.18,Direct Deposit,3.0,0,1,0,2,11,1,0,App Notification,0,France
2453,15578825,Golubev,Female,29,Gauteng,Johannesburg,Urban,Matric,Employed,English,Standard Bank,Savings,0,734,Good,TransUnion,1,Savings Account,1,1,0,0,1,0,0,0,1,2869890.53,363766.76,30313.9,Direct Deposit,5.4,0,1,1,3,8,3,1,WhatsApp,0,France
2454,15619935,Vanmeter,Female,59,North West,Klerksdorp,Urban,Matric,Self-Employed,isiXhosa,Absa,Cheque,9,783,Very Good,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,1,2587609.84,90684.42,7557.04,Direct Deposit,5.3,1,1,0,2,2,1,0,SMS,0,Spain
2455,15636089,Hs?,Female,51,Mpumalanga,Secunda,Urban,Postgraduate,Self-Employed,English,FNB,Savings,1,678,Good,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,0,2987896.12,2249228.02,187435.67,Direct Deposit,6.6,0,0,0,2,7,3,2,Email,1,Germany
2456,15727490,Scott,Male,47,Gauteng,Johannesburg,Urban,Diploma,Student,Sepedi,Capitec,Pensioner,5,661,Fair,TransUnion,1,Savings Account,1,0,0,0,0,1,1,0,0,0.0,2198487.86,183207.32,Direct Deposit,4.7,1,1,1,3,8,3,0,WhatsApp,1,France
2457,15591766,Crawford,Female,25,North West,Potchefstroom,Rural,Matric,Employed,Setswana,Absa,Cheque,4,607,Fair,TransUnion,1,Savings Account,1,0,0,0,0,0,1,0,0,2483921.24,2363408.92,196950.74,Cash,6.0,1,1,1,3,8,3,1,App Notification,0,Spain
2458,15641629,P'eng,Female,38,Free State,Sasolburg,Suburban,Diploma,Employed,isiZulu,Nedbank,Cheque,1,537,Poor,TransUnion,2,Savings + Credit Card,1,0,1,0,0,0,0,0,0,0.0,845296.38,70441.37,Cheque,3.1,1,1,1,2,9,1,1,WhatsApp,0,Spain
2459,15813303,Rearick,Male,88,Northern Cape,Upington,Suburban,Postgraduate,Employed,English,Capitec,Savings,10,513,Poor,TransUnion,2,Savings + Credit Card,1,0,1,0,0,0,0,0,1,0.0,1085520.92,90460.08,Direct Deposit,3.2,1,1,1,4,10,3,0,Email,0,Spain
2460,15756920,Genovesi,Male,63,KwaZulu-Natal,Richards Bay,Urban,Matric,Employed,Afrikaans,Standard Bank,Cheque,9,576,Poor,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,0,1448437.34,1618593.9,134882.82,Direct Deposit,4.7,0,1,1,2,6,1,2,App Notification,1,France
2461,15726403,Glenny,Male,41,Limpopo,Tzaneen,Urban,Matric,Employed,Setswana,Capitec,Savings,1,660,Fair,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,2662974.81,533524.8,44460.4,Direct Deposit,5.0,0,0,0,2,8,2,1,Email,1,Germany
2462,15592765,Marks,Male,40,Western Cape,Cape Town,Rural,Postgraduate,Employed,Xitsonga,Standard Bank,Student,8,637,Fair,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,1,2572151.6,3577991.49,298165.96,Direct Deposit,7.1,1,1,0,1,7,4,0,Email,0,France
2463,15704442,Fleming,Female,53,Gauteng,Sandton,Suburban,No Matric,Employed,Xitsonga,Absa,Student,9,672,Good,TransUnion,4,Premium Banking Package,1,1,1,1,1,0,0,1,1,3472829.76,3019885.14,251657.1,Direct Deposit,7.4,1,1,0,1,8,3,1,SMS,1,France
2464,15641136,Davison,Male,32,Western Cape,Cape Town,Suburban,Matric,Self-Employed,isiXhosa,FNB,Savings,2,629,Fair,TransUnion,2,Savings + Credit Card,1,0,1,0,0,0,0,0,0,0.0,1598291.52,133190.96,Cash,4.1,1,1,1,2,8,2,1,SMS,0,France
2465,15725818,Chibuzo,Male,40,Limpopo,Thohoyandou,Suburban,No Matric,Self-Employed,Sesotho,FNB,Savings,4,583,Fair,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,1,2194346.65,115530.42,9627.54,Direct Deposit,4.1,1,1,0,2,9,2,2,WhatsApp,0,Germany
2466,15612071,Wilson,Female,32,Free State,Kroonstad,Urban,Postgraduate,Unemployed,isiZulu,FNB,Savings,10,763,Very Good,TransUnion,1,Savings Account,1,1,0,0,0,1,0,0,0,1950652.28,1666857.05,138904.75,Direct Deposit,5.9,1,0,1,4,6,5,1,WhatsApp,0,Spain
2467,15719809,Endrizzi,Male,32,Eastern Cape,East London,Urban,No Matric,Employed,isiZulu,Capitec,Savings,3,516,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,2975904.84,2284139.72,190344.98,Direct Deposit,5.8,0,1,1,1,9,2,1,Phone Call,0,Germany
2468,15716518,Yuryeva,Female,27,Gauteng,Pretoria,Rural,Degree,Employed,Sesotho,Capitec,Pensioner,4,617,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,0.0,3900518.8,325043.23,Direct Deposit,5.8,0,0,1,0,2,1,1,WhatsApp,0,France
2469,15742210,Ugochukwu,Male,38,Western Cape,Worcester,Suburban,No Matric,Employed,isiXhosa,Absa,Prestige,9,700,Good,TransUnion,1,Savings Account,1,1,0,0,1,1,0,0,1,1352233.92,2069484.84,172457.07,Direct Deposit,5.6,1,1,1,0,10,2,0,Phone Call,0,France
2470,15630617,Lo Duca,Male,36,Eastern Cape,Port Elizabeth,Rural,No Matric,Unemployed,Afrikaans,Capitec,Savings,6,727,Good,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,2878585.6,2317191.46,193099.29,Direct Deposit,6.8,1,1,1,2,9,0,0,Phone Call,1,Germany
2471,15720838,Gallo,Female,31,North West,Mahikeng,Urban,No Matric,Employed,Sesotho,FNB,Savings,3,689,Good,TransUnion,1,Savings Account,1,1,0,0,1,0,0,0,0,2865892.42,2473603.18,206133.6,Direct Deposit,6.7,1,1,0,0,13,3,1,SMS,0,Spain
2472,15595537,Trout,Male,49,Mpumalanga,Witbank,Urban,Matric,Employed,English,Absa,Savings,9,626,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,1,0,1,3521650.72,3837440.72,319786.73,Direct Deposit,7.8,0,1,0,2,8,3,1,SMS,0,Germany
2473,15623196,Morley,Male,38,Western Cape,Worcester,Urban,Diploma,Employed,Xitsonga,FNB,Savings,6,686,Good,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,3059398.88,2005417.22,167118.1,Direct Deposit,6.5,1,1,1,1,9,1,0,SMS,0,France
2474,15679249,Chou,Female,57,Limpopo,Thohoyandou,Suburban,Diploma,Unemployed,Xitsonga,Nedbank,Savings,4,351,Poor,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,1,3344502.43,3477244.64,289770.39,Direct Deposit,6.1,0,1,1,3,13,2,0,Email,1,Germany
2475,15693199,Shao,Female,37,Gauteng,Pretoria,Urban,Matric,Self-Employed,isiZulu,Standard Bank,Savings,8,739,Good,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,0.0,3926920.55,327243.38,Direct Deposit,6.4,0,1,1,1,9,3,0,SMS,1,France
2476,15661219,Trentino,Male,32,Western Cape,Paarl,Urban,Diploma,Unemployed,isiZulu,Standard Bank,Student,10,627,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,1,0,0,0,1,0.0,2117396.21,176449.68,Direct Deposit,4.5,0,1,1,0,5,1,0,SMS,0,France
2477,15617136,Mazzanti,Female,38,Mpumalanga,Standerton,Suburban,Postgraduate,Employed,English,Absa,Cheque,9,451,Poor,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,1260390.64,3434542.53,286211.88,Direct Deposit,5.4,1,1,1,1,12,3,1,Phone Call,0,Germany
2478,15760294,Endrizzi,Female,41,Western Cape,Worcester,Urban,Matric,Self-Employed,Sepedi,Capitec,Cheque,8,512,Poor,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,2975580.74,1329821.06,110818.42,Direct Deposit,5.1,0,0,1,0,7,6,0,Email,1,France
2479,15652808,Monaldo,Female,41,Gauteng,Johannesburg,Suburban,No Matric,Self-Employed,Afrikaans,Absa,Cheque,5,774,Very Good,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,1,2596742.58,2099734.23,174977.85,Direct Deposit,6.7,0,0,1,1,9,5,1,WhatsApp,0,France
2480,15657139,Otutodilinna,Female,40,Western Cape,Paarl,Urban,Degree,Employed,isiXhosa,Capitec,Student,8,652,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,1730011.4,2211462.1,184288.51,Direct Deposit,5.7,1,1,1,1,3,2,0,WhatsApp,0,France
2481,15803790,Allen,Male,37,Mpumalanga,Middelburg,Urban,Matric,Employed,English,Absa,Student,2,638,Fair,TransUnion,2,Savings + Credit Card,1,0,1,0,0,0,0,0,1,1839441.63,764545.04,63712.09,Direct Deposit,4.6,1,1,0,2,10,0,0,Email,0,Germany
2482,15764105,Milne,Female,57,Gauteng,Midrand,Urban,Degree,Employed,English,Capitec,Savings,1,475,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,1,0,0,1,0.0,1829604.3,152467.02,Cash,3.6,0,1,0,3,5,3,0,Email,0,France
2483,15672610,Somadina,Male,40,Free State,Bethlehem,Suburban,No Matric,Self-Employed,Tshivenda,Standard Bank,Cheque,4,567,Poor,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,0,2431890.4,1885459.42,157121.62,Direct Deposit,5.5,0,1,0,1,6,3,0,SMS,0,Spain
2484,15766896,Chieloka,Male,37,Gauteng,Midrand,Urban,Diploma,Employed,Sesotho,Standard Bank,Savings,3,750,Very Good,TransUnion,2,Savings + Credit Card,1,0,1,0,0,0,0,0,1,0.0,345839.1,28819.92,Direct Deposit,3.8,0,1,1,0,11,2,0,SMS,0,France
2485,15587735,Chukwuebuka,Male,39,KwaZulu-Natal,Empangeni,Urban,Diploma,Employed,isiZulu,Standard Bank,Cheque,6,850,Excellent,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,1985694.16,2494464.4,207872.03,Direct Deposit,7.0,1,1,1,0,4,1,0,WhatsApp,0,France
2486,15659501,Chioke,Female,38,Gauteng,Centurion,Urban,Postgraduate,Employed,Afrikaans,FNB,Savings,6,753,Very Good,TransUnion,1,Savings Account,1,1,0,0,0,0,1,0,0,2916400.72,691473.82,57622.82,Direct Deposit,5.8,1,0,1,1,10,1,0,Email,0,France
2487,15745001,Kovalev,Female,36,Free State,Welkom,Suburban,Diploma,Employed,Sesotho,Absa,Cheque,7,683,Good,TransUnion,2,Savings + Credit Card,1,0,1,0,1,1,0,0,1,0.0,2148125.09,179010.42,Direct Deposit,4.8,0,1,1,0,9,0,0,WhatsApp,0,Spain
2488,15651140,Doherty,Female,32,Western Cape,Worcester,Urban,Degree,Employed,isiZulu,Standard Bank,Savings,3,710,Good,TransUnion,1,Savings Account,1,1,0,0,0,1,0,0,1,0.0,1943201.97,161933.5,Direct Deposit,4.8,0,0,1,2,9,2,0,App Notification,0,France
2489,15571148,Baranov,Female,21,Free State,Kroonstad,Urban,Diploma,Unemployed,Setswana,Absa,Savings,1,645,Fair,TransUnion,2,Savings + Credit Card,1,0,1,0,0,1,0,0,0,0.0,588884.43,49073.7,Cash,3.5,0,1,1,2,9,1,0,SMS,0,Spain
2490,15776824,Rossi,Male,28,KwaZulu-Natal,Newcastle,Suburban,Degree,Employed,English,Capitec,Savings,6,714,Good,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,1,2515849.58,1374674.04,114556.17,Direct Deposit,5.8,1,1,1,0,6,4,0,Email,0,France
2491,15633141,Robinson,Female,35,Limpopo,Thohoyandou,Urban,Degree,Employed,English,Absa,Savings,4,696,Good,TransUnion,1,Savings Account,1,0,0,0,0,0,0,0,1,3585496.33,1416136.92,118011.41,Direct Deposit,6.4,0,1,1,1,8,3,1,SMS,0,Germany
2492,15764174,Bidencope,Female,26,Northern Cape,Springbok,Rural,Matric,Self-Employed,English,Absa,Cheque,4,612,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,0.0,3685505.17,307125.43,Direct Deposit,5.6,1,1,1,0,4,1,1,WhatsApp,0,Spain
2493,15778155,T'ien,Female,31,Limpopo,Musina,Urban,Degree,Pensioner,Afrikaans,Nedbank,Savings,3,520,Poor,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,2232740.48,3763234.0,313602.83,Direct Deposit,6.5,1,1,0,1,7,2,0,WhatsApp,1,Germany
2494,15715920,De Bernales,Male,23,Free State,Sasolburg,Suburban,Matric,Pensioner,isiNdebele,Standard Bank,Savings,10,782,Very Good,TransUnion,1,Savings Account,1,1,0,0,1,1,0,0,1,2010079.53,2923040.06,243586.67,Cash,7.0,1,1,1,1,6,1,0,SMS,0,Spain
2495,15671917,Wade,Male,46,KwaZulu-Natal,Durban,Urban,Diploma,Employed,English,Capitec,Pensioner,5,666,Fair,TransUnion,1,Savings Account,1,1,0,0,0,1,0,0,1,2539400.4,3645803.23,303816.94,Direct Deposit,7.3,1,0,1,1,7,1,0,Email,0,France
2496,15666548,Chung,Female,56,Eastern Cape,Mthatha,Urban,Diploma,Employed,Sepedi,Absa,Cheque,2,466,Poor,TransUnion,3,Savings + Credit Card + Personal Loan,1,0,1,1,0,0,0,0,1,2294362.66,4051499.26,337624.94,Cheque,6.5,0,0,1,0,9,0,0,Email,1,Germany
2497,15625623,Stevenson,Female,45,Western Cape,Paarl,Urban,Matric,Employed,Afrikaans,FNB,Cheque,4,567,Poor,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,0.0,2481590.4,206799.2,Direct Deposit,4.5,1,1,1,1,13,3,1,Email,0,France
2498,15748123,Chienezie,Male,20,Western Cape,Worcester,Suburban,Degree,Employed,Sepedi,Standard Bank,Cheque,3,613,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,0.0,3067082.28,255590.19,Direct Deposit,5.1,1,0,1,1,11,3,1,SMS,0,France
2499,15648735,Cashin,Male,37,Western Cape,Cape Town,Suburban,Postgraduate,Employed,English,Absa,Cheque,8,718,Good,TransUnion,2,Savings + Credit Card,1,0,1,0,0,0,0,0,1,0.0,2927.6,243.97,Direct Deposit,3.4,1,1,1,1,10,3,0,SMS,0,France
2500,15634974,Seppelt,Female,37,Western Cape,Paarl,Urban,Diploma,Employed,Setswana,Absa,Cheque,8,614,Fair,TransUnion,4,Premium Banking Package,1,1,1,1,1,0,0,1,0,1540581.97,2701216.74,225101.4,Direct Deposit,5.8,1,0,1,0,8,3,1,Phone Call,1,France
2501,15713378,Brownless,Male,38,Western Cape,Stellenbosch,Urban,No Matric,Self-Employed,siSwati,Absa,Student,10,711,Good,TransUnion,2,Savings + Credit Card,1,1,1,0,1,1,0,0,0,0.0,1092891.49,91074.29,Direct Deposit,4.1,0,0,1,1,9,3,0,App Notification,0,France
2502,15753370,McDonald,Female,38,Eastern Cape,Mthatha,Urban,Matric,Pensioner,English,Standard Bank,Prestige,5,691,Good,TransUnion,1,Savings Account,1,1,0,0,0,1,1,0,1,2352452.08,2207132.91,183927.74,Cash,6.2,0,1,1,1,4,0,0,SMS,0,Germany
2503,15782659,Mamelu,Male,32,Gauteng,Pretoria,Suburban,Matric,Employed,isiZulu,Standard Bank,Cheque,0,527,Poor,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,0.0,2245239.54,187103.3,Direct Deposit,4.1,0,1,1,2,9,3,0,WhatsApp,0,France
2504,15583364,McGregor,Female,32,Gauteng,Sandton,Urban,No Matric,Self-Employed,isiZulu,Capitec,Savings,6,476,Poor,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,0,2293374.56,2298723.63,191560.3,Direct Deposit,5.3,0,1,0,2,9,1,0,Email,0,France
2505,15625942,McDonald,Female,45,North West,Rustenburg,Suburban,Diploma,Employed,isiXhosa,FNB,Student,0,619,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,0.0,2329730.7,194144.22,Direct Deposit,4.6,0,1,1,0,9,0,1,Email,0,Spain
2506,15720284,Crawford,Female,37,Limpopo,Polokwane,Rural,Diploma,Employed,Setswana,Nedbank,Cheque,4,607,Fair,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,0,2786504.73,3708253.2,309021.1,Cheque,7.2,0,1,0,0,7,2,0,Email,0,Germany
2507,15679642,Feng,Male,44,Northern Cape,Upington,Suburban,Matric,Self-Employed,Afrikaans,FNB,Savings,8,695,Good,TransUnion,2,Savings + Credit Card,1,0,1,0,0,0,0,0,1,0.0,1454969.66,121247.47,Direct Deposit,4.3,1,0,1,1,12,0,1,SMS,0,Spain
2508,15628007,Genovese,Male,33,Western Cape,Worcester,Urban,Postgraduate,Student,English,Capitec,Savings,1,653,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,0,0.0,1094280.16,91190.01,Direct Deposit,3.9,0,1,1,0,12,1,0,WhatsApp,0,France
2509,15661974,Pirozzi,Male,46,Gauteng,Midrand,Urban,Matric,Pensioner,isiZulu,Absa,Cheque,2,677,Good,TransUnion,1,Savings Account,1,0,0,0,0,1,0,0,1,1169273.67,3249885.7,270823.81,Direct Deposit,6.2,1,1,1,2,6,2,1,WhatsApp,0,France
2510,15689341,Gibbs,Female,50,Gauteng,Centurion,Rural,Matric,Self-Employed,Afrikaans,Absa,Cheque,10,655,Fair,TransUnion,4,Premium Banking Package,1,0,1,1,0,0,0,1,1,0.0,3674992.77,306249.4,Cash,5.8,0,0,1,3,12,2,0,SMS,1,France
2511,15607993,Milne,Female,52,Gauteng,Midrand,Urban,Matric,Employed,Setswana,Nedbank,Prestige,2,625,Fair,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,1629113.68,1734423.62,144535.3,Direct Deposit,5.2,1,1,0,2,7,1,2,WhatsApp,0,France
2512,15693267,Dickson,Female,34,Limpopo,Polokwane,Urban,Diploma,Employed,Setswana,FNB,Pensioner,7,679,Good,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,2481808.93,1168183.89,97348.66,Direct Deposit,5.5,0,1,0,1,9,0,1,SMS,0,Germany
2513,15769522,O'Connor,Male,51,Gauteng,Johannesburg,Suburban,Matric,Unemployed,Afrikaans,Standard Bank,Pensioner,1,734,Good,TransUnion,1,Savings Account,1,1,0,0,0,1,0,0,1,2430018.14,2396705.22,199725.44,Direct Deposit,6.6,1,0,1,2,6,1,0,WhatsApp,0,France
2514,15755825,McGuirk,Male,39,Gauteng,Johannesburg,Suburban,Diploma,Employed,Setswana,Nedbank,Cheque,10,666,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,0,0,0,0,1,0.0,2111486.26,175957.19,Direct Deposit,4.7,0,1,1,3,5,4,1,WhatsApp,0,France
2515,15598175,Toscani,Female,26,Eastern Cape,Uitenhage,Urban,No Matric,Self-Employed,isiZulu,Absa,Cheque,4,592,Fair,TransUnion,2,Savings + Credit Card,1,0,1,0,0,1,0,0,1,2154182.44,2722432.18,226869.35,Direct Deposit,6.0,0,1,1,1,10,2,1,SMS,0,Germany
2516,15744327,Ruth,Male,40,Gauteng,Pretoria,Suburban,Postgraduate,Employed,isiXhosa,Standard Bank,Prestige,4,564,Poor,TransUnion,1,Savings Account,1,1,0,0,0,0,0,0,1,0.0,1751840.21,145986.68,Direct Deposit,3.9,0,1,1,0,9,2,0,Phone Call,1,France
2517,15798666,Hughes,Female,36,KwaZulu-Natal,Empangeni,Urban,Diploma,Self-Employed,isiXhosa,Standard Bank,Savings,6,814,Excellent,TransUnion,2,Savings + Credit Card,1,0,1,0,0,0,0,0,1,0.0,2022468.7,168539.06,Direct Deposit,5.3,1,1,1,0,4,1,0,SMS,0,France
2518,15577064,Onyekaozulu,Male,36,Limpopo,Mokopane,Urban,No Matric,Employed,English,Capitec,Prestige,2,592,Fair,TransUnion,2,Savings + Credit Card,1,1,1,0,1,1,1,0,1,2146404.32,2212948.76,184412.4,Direct Deposit,5.7,0,1,0,2,14,0,1,SMS,0,Germany
2519,15759436,Aksenov,Female,50,Western Cape,Cape Town,Urban,No Matric,Self-Employed,Afrikaans,Nedbank,Savings,2,758,Very Good,TransUnion,3,Savings + Credit Card + Personal Loan,1,1,1,1,0,0,1,0,1,1964182.08,1392853.84,116071.15,Cash,5.7,1,1,1,1,6,0,0,Phone Call,1,France
2520,15690231,K'ung,Female,62,North West,Brits,Urban,Matric,Self-Employed,Afrikaans,Standard Bank,Savings,0,612,Fair,TransUnion,2,Savings + Credit Card,1,0,1,0,0,0,0,0,1,3424045.5,3954287.02,329523.92,Direct Deposit,7.8,1,1,0,2,11,4,0,SMS,0,Spain
2521,15751561,Meng,Male,61,Eastern Cape,Port Elizabeth,Urban,Matric,Employed,Afrikaans,Nedbank,Prestige,7,498,Poor,TransUnion,1,Savings Account,1,1,0,0,1,0,1,0,1,2100291.83,3838574.98,319881.25,Direct Deposit,6.4,0,1,1,0,9,3,0,WhatsApp,1,Germany
